"","player_api_id","player_fifa_api_id","id","player_name","birthday","height","weight","date","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","left_foot","attack_high","attack_medium","defend_high","defend_medium"
"1",2625,148544,8372,"Patryk Rachwal,18","1981-01-27 00:00:00",-1.14423346222225,-1.05196386755147,"2015-01-16",-1.0982995738615,-1.75688466185154,"right","medium","medium",-0.279741499993461,-0.113797541310332,-0.739726784302456,-0.721487215170774,-0.554360408270443,-0.546074895678087,-0.0755321370228775,0.0966700813970448,0.540131671029032,-0.03450249660353,0.0357939821026144,-0.311086583702694,0.6480052006237,-1.90353335689475,0.879745810359383,0.446005602362922,-0.346466837064651,0.763308966020836,-0.986301340911381,0.0747640617628341,0.663007943626045,0.68721792718777,-0.28630764476808,0.0128139308759724,0.870021401814167,0.736003962465605,0.595657255823676,54,-0.178293943830797,-0.232840159360724,-0.545800521249819,-0.413135052090513,-0.402518615781387,0,0,1,0,1
"2",2752,135819,2639,"Diego Mainz","1982-12-29 00:00:00",1.06244333960593,0.440842058132625,"2015-04-10",0.471136753276046,-0.120345868090335,"right","medium","medium",-1.09321724778476,-0.628220738431547,1.57425758016596,-0.501618099986831,-1.64417388855152,-0.894987826765366,-1.26168492664132,-1.42572651249417,0.189578922838022,-0.48646861246737,-2.35940892006547,-1.14099681746053,-1.96313093362042,-0.425612072161474,-1.89687857444729,-0.192939248818655,-1.05626120784816,-0.482246457358973,1.35965023452897,-1.6230123039388,1.37166727860634,1.20215089939863,-1.27159370927423,-0.115536191791308,-1.14565588186767,1.28692528382687,1.06275511349184,64.6666666666667,-0.235986724421814,-0.540567891257847,-0.482144677097266,-0.352853093349784,-0.00879231706208249,0,0,1,0,1
"3",2768,110019,5319,"Jose Dorado","1982-07-10 00:00:00",-0.261562741490978,-1.05196386755147,"2014-09-18",0.785024018703554,0.206961890661907,"left","medium","medium",-0.78034196017272,-0.342430073364205,0.862262391098756,0.671017180994196,-1.15981234175993,-1.16180359759681,-0.253455055465644,-1.73020583127242,0.0493578235616173,-0.237887248742258,-0.907770797539358,-0.914657662799305,-0.5850313072138,1.01341654718409,-0.289359193769744,-1.40693446606365,0.984397608154425,-2.14298702186538,0.270458431645952,-1.6230123039388,0.17707011392527,1.45961738550406,-0.923845686507354,0.205339114876893,-1.88473755255101,1.40743932287465,1.1461654452183,76,-0.235986724421814,-0.0482035202224509,-0.163865456334502,-0.111725258386866,-0.34627200167863,1,0,1,0,1
"7",2802,179591,8249,"Pablo Hernandez","1985-04-11 00:00:00",-1.58556882258789,-0.678762386130444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2805,190156,9282,"Ruben Perez","1989-04-26 00:00:00",-0.702898101856612,-0.678762386130444,"2015-04-10",0.97335637796006,1.22161594279386,"right","medium","medium",-0.204651430966573,-0.38815657977498,-0.125630933731991,0.978833942251716,-1.38988407648594,-0.225895970680349,0.114252309316073,0.474224436682067,0.834595979509481,0.521415825908994,-0.0367879240236911,-0.0093010441543883,-0.149841951506447,0.920074150253565,0.44133143381096,1.09772935056813,0.540776126414733,0.832506489541937,0.68937835583173,1.01146826352925,1.39191468817721,1.6655905743884,0.188947986346651,1.24497510848187,-0.258757877047663,0.591387115608273,1.45645187924072,63.2,-0.282140948894628,-0.466713235602537,-0.151134287503991,-0.401078660342367,-0.0537896083442888,0,0,1,0,1
"31",4999,138380,9597,"Sebastian Olszar","1981-12-16 00:00:00",0.179772618874657,-0.380201200993626,"2015-02-20",-1.72607410471651,-2.41150017935603,"right","medium","medium",-0.968067132739941,0.743574453891694,0.595264195198554,-0.941356330354716,0.172181911916943,-0.669220636061833,-1.26168492664132,-0.755872011182038,-1.49307426847883,-0.03450249660353,-0.181951736276302,-0.688318508138076,-2.10819405218953,-3.07031331852629,0.733607684843242,0.0626386916539762,0.806949015458549,-0.482246457358973,0.102890461971641,-0.803396127393185,-0.734063316763685,-1.52699385331891,0.0614403779987966,-0.179711253124948,-0.406574211184332,-1.17500437100629,-1.30609830753956,25,-0.582143407967916,-0.0482035202224509,-0.545800521249819,-0.473417010831243,-0.233778773473114,0,0,1,0,1
"33",5044,137692,4884,"Jeroen Verhoeven","1980-04-30 00:00:00",NA,NA,"2014-09-18",-0.470525043006479,-1.10226914434706,"right","medium","medium",-1.84411793805364,-1.37127646760664,-2.14146731277852,-2.11399161133574,-1.40199311515573,-2.0853966504749,-1.61753076352685,-1.42572651249417,-1.98384811594624,-2.33952968750912,-2.7949003568233,-2.95171005475037,-1.31034690005939,0.430026566368319,-2.84677639030221,-1.7903013767726,-1.49988268958785,-2.07378949834428,0.521810386157419,-1.6230123039388,-1.76668120487783,-1.32102066443457,-1.67729973583559,-1.91243790913324,-2.0191160381298,-1.17500437100629,-1.30609830753956,25,2.41788118276497,3.21371043788705,3.52817350451357,3.02293659613106,3.14101807269236,0,0,1,0,1
"35",5063,148866,9464,"Sander Duits","1983-08-29 00:00:00",0.179772618874657,0.291561465564216,"2014-09-18",-0.15663777757897,-0.774961385594819,"left","medium","high",0.0957088451409821,0.343467522797416,0.595264195198554,0.304568655687625,0.29327229861484,-0.0534919341431059,1.16992829207649,1.55817081153262,0.399910571752628,0.101087338155622,-0.54486126690783,-1.66912151167007,-0.657562866498359,0.0799925778788587,-1.16618794686659,0.701583542835553,-1.94350417132754,0.970901536584138,0.605594370994574,1.07001227613966,1.27043023075202,0.790204521629941,0.293272393176714,0.975439850880576,1.54191382970811,0.52940846695513,0.7457958529313,66,-0.351372285603848,-0.109749066601875,-0.100209612181949,-0.232289175868325,-0.00879231706208249,1,0,1,1,0
"38",5202,112352,8857,"Remy Gomis","1984-02-14 00:00:00",-0.261562741490978,-0.380201200993626,"2015-01-09",0.366507664800209,-0.229448454341083,"right","medium","high",-0.154591384948647,0.17199312375701,0.595264195198554,0.426718164123149,-0.0699988614788525,0.00808093604876676,-0.905839089755786,0.34025353641964,0.633612403879968,0.30447209029435,-0.278727611111377,-1.06555043257346,-1.38287845934395,0.430026566368319,0.36826237105289,0.701583542835553,0.00843034832710271,1.04009906010524,1.27586624969182,0.660204187866847,1.18944059246855,1.3051374938408,-0.344265648562559,0.462039360211454,-0.339384968394937,0.581057340832749,1.17952957790888,70.6666666666667,-0.00521560205774617,-0.540567891257847,-0.100209612181949,-0.292571134609054,-0.458765229884145,0,0,1,1,0
"48",5610,137960,10888,"Yann Jouffre","1984-07-23 00:00:00",-1.14423346222225,-1.87300712667772,"2015-01-30",0.785024018703554,0.206961890661907,"left","medium","medium",1.34720999558913,0.743574453891694,0.328265999298352,1.03746570630077,0.595998265359585,0.870101118734984,0.814082455190953,1.55817081153262,1.24123716741105,0.779036511951383,0.10837588822892,0.594270034942223,0.502942082054582,1.36345053567355,0.806676747601313,0.190427661890292,-1.49988268958785,-0.413048933837872,-1.90792517412009,0.777292213087649,-0.00515657221252137,0.120791657755827,0.872852431121509,1.23214009621514,1.27315685855053,0.0645686020565596,-0.0048971326068205,40,-0.293679505012831,0.0133420261569736,-0.609456365402372,-0.232289175868325,-0.34627200167863,1,0,1,0,1
